time,blood_volume_L,extracellular_fluid_volume,mean_arterial_pressure_MAP,glomerular_pressure,GFR_ml_min,albumin_excretion_rate,plasma_renin_activity,dailyUGE,dailyNaExcretion,dailyWaterExcretion,i
Inf,-0.101968447,-0.025273097,-0.119354488,-0.124278984,-0.298490499,-0.853447583,0.003645406,Inf,Inf,Inf,0
Inf,-0.017134338,-0.143186147,-0.021297425,-0.019726122,-0.067111906,-0.539419301,0.002169799,Inf,Inf,Inf,0
Inf,-0.027791918,-0.151111431,-0.036468895,-0.036343882,-0.153099782,0,0.015772246,Inf,Inf,Inf,0
Inf,-0.102832204,-0.014409475,-0.11805792,-0.128299251,-0.280257393,-0.79578398,-3.63E-05,Inf,Inf,Inf,0
Inf,-0.018778889,-0.124004834,-0.022124343,-0.022329851,-0.054493692,-0.126722876,0.000731224,Inf,Inf,Inf,0
Inf,-0.04612888,-0.252929098,-0.055074889,-0.052670195,-0.154328709,-0.79778503,0.003038285,Inf,Inf,Inf,0
Inf,-0.076477018,-0.088079146,-0.089225652,-0.093390545,-0.238378619,-0.742562725,-0.11008105,Inf,Inf,Inf,0
Inf,-0.010499001,-0.123919415,-0.013253143,-0.012294871,-0.044453004,-0.250019194,0.00054721,Inf,Inf,Inf,0
Inf,-0.066137939,-0.117685021,-0.082055099,-0.084745574,-0.261272278,-0.980500323,0.018811878,Inf,Inf,Inf,0
Inf,-0.068268846,-0.148870084,-0.080453897,-0.079384593,-0.207929949,-0.728423096,-0.086078285,Inf,Inf,Inf,0
Inf,-0.074662479,-0.141105214,-0.089895481,-0.090350131,-0.243413204,-0.836524932,0.005163126,Inf,Inf,Inf,0
Inf,-0.017921491,-0.144859211,-0.021284059,-0.021396074,-0.063529133,-0.241017216,0.000474611,Inf,Inf,Inf,0
Inf,-0.013194958,-0.148110003,-0.017769646,-0.01672351,-0.085605629,0,0.013298364,Inf,Inf,Inf,0
Inf,-0.03251669,-0.215165252,-0.039907283,-0.038899948,-0.129010043,-0.972027477,0.006260618,Inf,Inf,Inf,0
Inf,-0.093585555,-0.047014065,-0.111540925,-0.11772676,-0.292238357,-0.815325736,0.005758678,Inf,Inf,Inf,0
Inf,-0.082840378,-0.145626234,-0.090063855,-0.08820706,-0.156838583,-0.202672836,0.008371973,Inf,Inf,Inf,0
Inf,-0.030874413,-0.161033862,-0.038345615,-0.036780102,-0.131177838,-0.634946546,0.006570386,Inf,Inf,Inf,0
Inf,-0.042322645,-0.161148246,-0.053763918,-0.052258178,-0.191859199,-0.603519248,0.020807903,Inf,Inf,Inf,0
Inf,-0.043388504,-0.210069564,-0.052564079,-0.052342361,-0.159528491,-0.862541296,0.00384657,Inf,Inf,Inf,0
Inf,-0.080460538,-0.097824809,-0.09543627,-0.099397596,-0.274878715,-0.823913667,-0.091265473,Inf,Inf,Inf,0
Inf,-0.042122315,-0.12233507,-0.046724903,-0.04620183,-0.09207344,-0.130025847,0.003753852,Inf,Inf,Inf,0
Inf,-0.064347243,-0.195562504,-0.076239102,-0.075636112,-0.20867287,-0.994768539,0.000475633,Inf,Inf,Inf,0
Inf,-0.045093973,-0.214071463,-0.053240881,-0.052554621,-0.14170878,-0.549482412,0.001999236,Inf,Inf,Inf,0
Inf,-0.015174677,-0.147997371,-0.019956975,-0.018000518,-0.090005865,0,0.00682859,Inf,Inf,Inf,0
Inf,-0.039643377,-0.239670502,-0.04843392,-0.045937041,-0.150673059,0,0.003527537,Inf,Inf,Inf,0
Inf,-0.052581502,-0.144220045,-0.065374804,-0.063181567,-0.211650776,-0.54828495,-0.036091481,Inf,Inf,Inf,0
Inf,-0.032903825,-0.10952798,-0.036869017,-0.037186485,-0.08233246,-0.140636264,0.002811632,Inf,Inf,Inf,0
Inf,-0.03968562,-0.232057215,-0.047715591,-0.047928578,-0.138523838,-0.60176967,0.003578507,Inf,Inf,Inf,0
Inf,-0.092370327,-0.051884107,-0.110481416,-0.112333161,-0.293943369,-0.9890063,0.006874412,Inf,Inf,Inf,0
Inf,-0.039944071,-0.212786496,-0.047529142,-0.046913854,-0.135351437,-0.590284842,0.002513325,Inf,Inf,Inf,0
Inf,-0.094304359,-0.11035154,-0.108691212,-0.112944004,-0.260173301,-0.723076384,-0.080049221,Inf,Inf,Inf,0
Inf,-0.025328842,-0.128401944,-0.032327963,-0.027230939,-0.123678241,-0.724376662,-0.053328931,Inf,Inf,Inf,0
Inf,0.013752836,-0.063399353,0.016616359,0.018664451,0.063792355,0.875355968,-0.008096092,Inf,Inf,Inf,0
Inf,-0.072801438,-0.283075873,-0.08214966,-0.080577483,-0.180660013,-0.445600889,-0.108727484,Inf,Inf,Inf,0
Inf,-0.085614289,-0.0490919,-0.103213623,-0.103995065,-0.282165433,-0.822958965,0.010178945,Inf,Inf,Inf,0
Inf,-0.006056473,-0.089972463,-0.00824119,-0.006285204,-0.0368929,0,0.001721867,Inf,Inf,Inf,0
Inf,-0.006654666,-0.047963758,-0.008681698,-0.008889056,-0.025977386,-0.039205156,0.003309256,Inf,Inf,Inf,0
Inf,-0.040682413,-0.217529164,-0.050559562,-0.049102795,-0.166728599,-0.605062102,0.013075584,Inf,Inf,Inf,0
Inf,-0.040175726,-0.208822846,-0.046666053,-0.046009287,-0.12491141,-0.492866766,0.001379462,Inf,Inf,Inf,0
Inf,-0.077789603,-0.277548283,-0.084657959,-0.07798658,-0.149008155,-0.228676698,-0.060979132,Inf,Inf,Inf,0
Inf,-0.105565292,-0.133095181,-0.124969339,-0.128352218,-0.355743424,-0.923682068,-0.182350165,Inf,Inf,Inf,0
Inf,-0.018906166,-0.169572066,-0.022772372,-0.023257006,-0.073289617,-0.47198877,0.000591891,Inf,Inf,Inf,0
Inf,-0.121224932,-0.004790108,-0.139420471,-0.142288073,-0.288143044,-0.772304968,0.000811723,Inf,Inf,Inf,0
Inf,-0.063001316,-0.180734334,-0.07685872,-0.075501561,-0.24186471,-0.729796598,-0.104515793,Inf,Inf,Inf,0
Inf,-0.070148647,-0.127616172,-0.085105273,-0.085516261,-0.234793229,-0.770809227,0.009234955,Inf,Inf,Inf,0
Inf,-0.014896835,-0.143561527,-0.019412793,-0.018283644,-0.084564035,0,0.009193812,Inf,Inf,Inf,0
Inf,-0.011389703,-0.112860162,-0.015099841,-0.012862115,-0.060771743,0,0.00833434,Inf,Inf,Inf,0
Inf,0.01905379,-0.072132033,0.021245037,0.023977841,0.054495788,0.67556455,-0.000898926,Inf,Inf,Inf,0
Inf,-0.068550489,-0.135588907,-0.082528875,-0.082302814,-0.226857915,-0.804647964,0.00442485,Inf,Inf,Inf,0
Inf,-0.077048264,-0.235039751,-0.087035762,-0.08682883,-0.181962236,-0.453847638,0.001709173,Inf,Inf,Inf,0
Inf,-0.033345807,-0.13677794,-0.038066003,-0.04118572,-0.105304072,-0.30436846,0.001855192,Inf,Inf,Inf,0
Inf,-0.013628744,-0.140871246,-0.017127783,-0.016258108,-0.060884398,-0.382741027,0.001509651,Inf,Inf,Inf,0
Inf,-0.113596344,-0.026862329,-0.133829873,-0.146351031,-0.374831445,-0.896518174,0.000926367,Inf,Inf,Inf,0
Inf,-0.082196707,-0.120631621,-0.096732096,-0.102894782,-0.293591002,-0.943169941,-0.200482941,Inf,Inf,Inf,0
Inf,-0.012952435,-0.129273447,-0.01595642,-0.015162785,-0.047804805,-0.186454512,0.0003751,Inf,Inf,Inf,0
Inf,-0.038386843,-0.211777364,-0.043280814,-0.04091979,-0.09566237,-0.188026838,-0.054062693,Inf,Inf,Inf,0
Inf,-0.019180768,-0.156091519,-0.024062749,-0.022981079,-0.085730897,-0.860929702,0.004721135,Inf,Inf,Inf,0
Inf,-0.070082487,-0.196381271,-0.082443418,-0.084352146,-0.215548974,-0.73853783,0.000690779,Inf,Inf,Inf,0
Inf,-0.027646911,-0.213755171,-0.034653569,-0.033109575,-0.113605112,-0.812325317,0.008821767,Inf,Inf,Inf,0
Inf,-0.034133937,-0.155725515,-0.041421218,-0.041816561,-0.121690996,-0.597166305,0.002026477,Inf,Inf,Inf,0
Inf,-0.091719462,-0.064872819,-0.106802313,-0.115841374,-0.27163498,-0.782649735,-0.035473898,Inf,Inf,Inf,0
Inf,-0.015182985,-0.096335139,-0.018043111,-0.01845803,-0.051994146,-0.138179741,0.001036304,Inf,Inf,Inf,0
Inf,-0.1006515,-0.123771446,-0.116541743,-0.133951162,-0.328584681,-0.946426958,-0.254920945,Inf,Inf,Inf,0
Inf,-0.014783542,-0.137419647,-0.018144077,-0.017591904,-0.054981742,-0.287876201,0.000472742,Inf,Inf,Inf,0
